,JID,Text
彈片與凹孔，而請求項8、9界定者為彈勾件與卡座。雖請求
項5至9所界定之定位件結構皆用以相對固定，但不同之定位
件結構在製造上及使用操作上仍有別於螺絲和螺孔配合之結構
，且因該等結構均不須旋轉螺絲，故至少在操作上較為快速、
便利。又如請求項10界定之公座體之套合槽，其具有可提供
短暫輔助定位之功效，及請求項11界定之止擋凸環緣，具有
避免螺牙損壞或螺桿過度鎖入而造成傾斜之功效等，均未揭示

5於證據之內容。
2.證據2所揭示之具有鎖固螺栓之結構，實與請求項7至9所界
定之第一定位件及第二定位件之結構完全不同。請求項7至9
所界定之結構，除證據2所揭示之鎖固功能外，另具有「定位
」、組裝及拆卸「快速」、「簡便」之功效。自應認系爭專利
領域具有通常知識者由證據2所揭示之技術內容，無法輕易完
成系爭專利請求項7至9之所有技術特徵，請求項7至9相較
於證據2應具有進步性。又系爭專利請求項7至9相較於先前
技藝，並非透過簡單凹凸卡合的普通常識而可無歧異推知。原
告另於94年11月21日向美國專利商標局（下稱USPTO）提
出申請，並於95年12月14日獲核准通過之系爭專利美國US
7,134,899專利，在美國US7,134,899專利審查期間，審查員
於95年5月10日所作之非最終核駁意見中，認定並無任何先
前技術揭示美國US7,134,899專利未修正前請求項6至8之內
容，故前開請求項應具有可專利性。而美國US7,134,899專利
未修正前請求項6至8所界定之技術特徵，與系爭專利請求項
7至9之範圍實質相同，系爭專利請求項7至9亦應具進步性
。
(六)為此起訴聲明：訴願決定及原處分關於請求項1至11舉發成
立之部分，應予撤銷。
五、被告之答辯：
(一)證據2已揭露電連接器之公座體之頂面凸設有配置體，該配置
體平行接頭的插接向設有螺桿，雖證據2並未揭露公座體相
對應之母座體，但證據2之「五、新式樣創作說明」段落已
說明此電連接器係安裝於電腦之印刷電路板與外部機器之連
接器，亦說明螺桿係固定用之定位件，因此通常知識者依前
開說明，必可得知有一個對應搭配公座體之母座體，該母座

6體對應該公座體的螺桿必設有一具內螺紋之鎖孔，亦可得知
藉由螺桿上凸出的外螺紋與鎖孔內凹的內螺紋之相互契合定
位，且證據2係具有定位件之電連結器的新式樣專利，就常
理而言，新式樣專利係針對發展成熟的產品上進行視覺美觀
美感之設計創作，故證據2之具有定位件之電連結器應為發
展成熟之產品而為通常知識者所熟知之通常知識，通常知識
者依據證據2之揭露再搭配自身所具有之通常知識，應可推
知證據2必與一個類似於系爭專利之母座體的元件搭配。
(二)證據5第1至3圖已揭露電連接器之公座體有配置體，該配置
體平行接頭的插接向設有螺桿，亦揭露相對應之母座體，雖
證據5並未揭露該配置體設於公座體之頂面，但證據5第6
頁第2段已說明透過螺桿之鎖合，可使接頭連接較為牢固，
則系爭專利所屬技術領域中具有通常知識者，依前開說明，
應可得知藉由螺桿上凸出的外螺紋與鎖孔內凹的內螺紋之相
互契合定位，並配合公座體、母座體的形態調整螺桿、鎖孔
之配置體的位置，通常知識者自可依其設計之需要而輕易完
成配置體設於公座體頂面之技術特徵，且如前所述，在系爭
專利之具有定位件之電連接器申請前，已有相關具有定位件
之電連結器如證據2新式樣專利已公告，而就一般常理而言
，新式樣專利係針對發展成熟產品上進行視覺美觀美感之設
計創作，故相關具有定位件之連接器應為發展成熟之產品，
則在發展成熟之具定位件之電連接器上依實際需要而有微小
改變對通常知識者應屬輕易完成。
(三)證據2、5所揭露之螺絲固定方式，已教示可利用螺桿上凸出
之外螺紋與鎖孔內凹的內螺紋而透過凸出、內凹的卡合方式
契合定位，故系爭專利所屬技術領域中具有通常知識者依證
據2、5之教示，應可輕易完成同樣利用凸出、內凹之卡合方

7式契合定位之系爭專利請求項5至9，且如前所述，在系爭專
利具有定位件之電連接器申請前，已有相關具有定位件之電
連結器如證據2新式樣專利已公告，而就一般常理而言，新
式樣專利係針對發展成熟的產品上進行視覺美觀美感之設計
創作，所以相關具有定位件之連接器應為發展成熟之產品，
因此在發展成熟之具定位件之電連接器上使用系爭專利申請
時現有的各種凸出、內凹卡合方式契合定位技術，對通常知
識者應屬輕易完成，綜上，被告原處分並無違法，為此答辯
聲明請求駁回原告之訴。
六、參加人未於言詞辯論期日到場，亦未提出任何書狀為主張，
僅於本院105年12月1日準備程序稱其已與原告和解，對本
件無繼續舉發之意。
七、得心證之理由：
(一)原告前於94年8月18日以「電連接器組合」向被告申請發明
專利，經被告編為第94128186號審查，准予專利，發給發明
第I253786號即系爭專利之專利證書。嗣參加人提出證據2至
7之不同組合，主張系爭專利有違核准時專利法第22條第1
項第1款及第4項之規定，不符發明專利要件，對之提起舉
發。原告則於101年11月23日及102年6月26日提出申請
專利範圍更正本。經被告審查，認系爭專利102年6月26日
更正本符合規定，依該更正本審查，並認系爭專利請求項1
至11違反專利法第22條第4項規定，於104年12月25日以
（104）智專三（二）04112字第10421751810號專利舉發審
定書為「102年6月26日之更正事項，准予更正」及「請求
項1至11舉發成立應予撤銷」之處分。原告不服，提起訴願
，經經濟部105年6月14日經訴字第10506305950號決定駁
回，原告仍未甘服，遂向本院提起行政訴訟，主張上開證據

8及其組合均無法證明系爭專利請求項1至11不具進步性，故
本件之主要爭點為證據2及證據2至7相互間之組合，是否
足以證明系爭專利請求項1至11不具進步性。
(二)系爭專利之申請日為94年8月18日，並於95年4月21日核
准審定及公告，故本件應適用核准審定時即92年2月6日修
正公布之專利法。系爭專利之申請專利範圍共11項，其中請
求項1為獨立項，其餘為直接或間接依附於請求項1之附屬
項，其內容如下：
1.一種電連接器組合，係包括有一公座體及一母座體，該公座體
一端延伸設有導線或另一連接器或PCB板，另一端延伸設有
一第一接頭，該母座體係供設置於一高速高頻寬產品的適當位
置處，設有一與公座體之第一接頭相吻合插接之第二接頭，其
特徵係在於：該公座體之頂面凸設有一配置體，平行該第一接
頭的插接向，該配置體設有一第一定位件，該母座體配合該第
一定位件對應地設有與該第一定位件可作契合定位的第二定位
件，藉由該第一定位件與該第二定位件彼此契合定位，提供電
連接器接頭確實接合以穩定傳輸高速高頻寬數位訊號者。
2.依據申請專利範圍第1項所述之電連接器組合，其中該配置體
為在該公座體上設有一隆起的凸座，並以平行該第一接頭的插
接向設置。
3.依據申請專利範圍第2項所述之電連接器組合，其中該配置體
之凸座設有一長槽，該第一定位件為一設於該長槽內可前後位
移之螺桿，該螺桿一端為施力端，另一端為具有外螺紋鎖組段
，而該第二定位件為一對接座，該對接座並以平行該第二接頭
的插接向並對應於螺桿的具有外螺紋鎖組段，設有一具有內螺
紋之鎖孔。
4.依據申請專利範圍第3項所述之電連接器組合，該母座體是在

9一殼體內部設有該第二接頭，在其一對接端的殼體頂緣向上凸
設有一架板，而該對接座則由該架板向著插接方向凸設。
5.依據申請專利範圍第2項所述之電連接器組合，該第一定位件
為是一設於該配置體的一固定件，一端固定於該配置體，並向
著插接向凸出形成為一卡柱，而該第二定位件是以平行該第二
接頭的插接向並對應於該卡柱，在內設有一相對應的凹卡孔。
6.依據申請專利範圍第2項所述之電連接器組合，該第一定位件
，可為一是在該配置體內設有的一凹卡孔，而該第二定位件是
向著插接向凸出有一卡柱。
7.依據申請專利範圍第1項所述之電連接器組合，其中該公座體
的第一定位件，為一是在該公座體之第一接頭上凸出設有的一
可上下壓扣之彈片，該彈片之前端固定於該第一接頭上，該彈
片向上設有一抵頂部，並向下設有一抵止於該第一接頭上之支
點部，該支點部撐住該第一接頭的殼體上使該彈片產生上下運
動的彈性，該彈片遠離該前端之一後端部位設有至少一供施力
摩擦用之凸肋，而該母座體的第二定位件是在該第二接頭的殼
體內設有一相對應的凹孔，當該彈片隨著該第一接頭進入該第
二接頭內往前位移，該彈片之前端產生形變，而使該抵頂部卡
入該凹孔內，便可產生輔助定位的功能，釋離時，只要下壓該
彈片，該支點被下壓而下移，該抵頂部即脫離與該凹孔的卡制
。
8.依據申請專利範圍第1項所述之電連接器組合，其中該公座體
的第一定位件為是一設於該配置體的彈勾件，該彈勾件具有至
少一彈勾體，其一端連結並固定於該配置體之頂部，該彈勾體
的游離端並凸設有一勾夾片，而該第二定位件凸設有一卡座，
該卡座在其周壁處凹設有一環槽，當以該公座體的第一接頭對
準該母座體的第二接頭插接定位時，該彈勾體游離端之勾夾片

10可順著該卡座滑向該環槽，使該勾夾片進入該環槽內而產生定
位。
9.依據申請專利範圍第8項所述之電連接器組合，其中各彈勾片
的夾勾片之近中央位置進一步凹設有一呈半圓形之卡槽。
10.依據申請專利範圍第3項或第4項所述之電連接器組合，其中
該公座體進一步地於在該配置體之長槽部位且對準於該對接
座之鎖孔的該側壁，以遠離該鎖孔的方向並以該長槽為中心
向內凹設有一內徑穩合於該對接座外徑的套合槽。
11.依據申請專利範圍第3項或第4項所述之電連接器組合，該第
一定位件之螺桿在距離具有該外螺紋鎖組段的另一端一適當
距離處，進一步加設有一止擋凸環緣，當該外螺紋鎖組段鎖
入該鎖孔內至極限位置時可形成擋止作用，而避免螺牙損壞
或螺桿過度鎖入而造成傾斜。
(三)證據2是否足以證明系爭專利請求項1不具進步性？
1.系爭專利對應請求項1至4之主要圖式如下：










2.證據2為86年5月1日公告之臺灣第304857號「印刷電路板
用之連接器」專利，其公告日早於系爭專利之申請日，可為系
爭專利相關之先前技術。證據2揭露一種有關於印刷電路板用

11之連結器之新式樣，造形獨特美觀，為橫長形體，係安裝於多
媒體電腦之印刷電路板與外部高速傳送機相關機器之連接器，
其本體上半部之細長螺栓，是用於固定機器之鎖固裝置，整體
觀之，出色獨特又易於安裝拆卸，是種理想創新且富於高度美
感與實用性之設計。
證據2之主要圖式如下：








3.系爭專利請求項1關於「一種電連接器組合，係包括有一公座
體及一母座體」技術特徵，由證據2之圖式及新式樣創作說明
揭示一種印刷電路板用之連結器，顯見系爭專利之「公座體」
已揭露於證據2之「印刷電路板用之連結器」之技術內容，且
證據2之「五、新式樣創作說明」中亦已記載此電連接器係安
裝於電腦之印刷電路板與外部機器之連接器，且記載螺桿係用
於固定機器之鎖固裝置，在此基礎上，所屬技術領域中具有通
常知識者，可得知必然存在有一相對應之母座體，得以與證據
2之連結器結合；故系爭專利「一種電連接器組合，係包括有
一公座體及一母座體」之技術特徵為所屬技術領域中具有通常
知識者依證據2所揭示之技術內容可輕易完成者。
4.系爭專利請求項1關於「該公座體一端延伸設有導線或另一連
接器或PCB板，另一端延伸設有一第一接頭」技術特徵，由
證據2及新式樣創作說明揭示一種印刷電路板用之連結器，其

12另一端延伸設有一第一接頭，顯見系爭專利之「公座體」及「
第一接頭」已揭露於證據2之技術內容；故證據2已揭露系爭
專利「該公座體一端延伸設有導線或另一連接器或PCB板，
另一端延伸設有一第一接頭」之技術特徵。且如前所述，所屬
技術領域中具有通常知識者，可得知證據2必然存在有一相對
應之母座體，得以與證據2之連結器結合，而該母座體亦必然
具有與證據2連結器之第一接頭相吻合插接之第二接頭；另證
據2既已揭示一種印刷電路板用之連結器，以此基礎將其相對
連接之母座體設於高速高頻寬產品，為所屬技術領域之習知技
術，故系爭專利「該母座體係供設置於一高速高頻寬產品的適
當位置處，設有一與公座體之第一接頭相吻合插接之第二接頭
」之技術特徵為所屬技術領域中具有通常知識者依證據2所
揭示之技術內容可輕易完成者。
5.系爭專利請求項1之「其特徵係在於：該公座體之頂面凸設有
一配置體，平行該第一接頭的插接向，該配置體設有一第一定
位件」技術特徵，由證據2之圖式及新式樣創作說明揭示一種
印刷電路板用之連結器，其頂面凸設有一配置體，平行該接頭
的插接向，該配置體設有一第一定位件（螺桿），顯見系爭專
利之「配置體」及「第一定位件」之技術特徵已揭露於證據2
之技術內容，故證據2已揭露系爭專利「其特徵係在於：該公
座體之頂面凸設有一配置體，平行該第一接頭的插接向，該配
置體設有一第一定位件」之技術特徵。且如前所述，所屬技術
領域中具有通常知識者，可得知必然存在有一相對應之母座體
，得以與證據2之連結器結合，而該母座體必設有一具內螺紋
之鎖孔（相當於第二定位件）與證據2連結器的螺桿（相當於
第一定位件）相對應，以使兩者相互契合定位；故系爭專利「
該母座體配合該第一定位件對應地設有與該第一定位件可作契

13合定位的第二定位件，藉由該第一定位件與該第二定位件彼此
契合定位，提供電連接器接頭確實接合以穩定傳輸高速高頻寬
數位訊號者」之技術特徵為所屬技術領域中具有通常知識者依
證據2所揭示之技術內容可輕易完成者。
6.綜上，證據2已可證明系爭專利請求項1不具進步性。證據2
既能單獨證明系爭專利請求項1不具進步性，則證據2、3之
組合或證據2、4之組合自亦可證明系爭專利請求項1不具進
步性。又證據2足以證明系爭專利請求項1不具進步性，已至
為明顯，爰不再就其他證據組合一一論述，附此敘明。
(四)系爭專利請求項2至4是否具進步性？
1.系爭專利請求項2為請求項1之附屬項，其附屬之技術特徵為
「該配置體為在該公座體上設有一隆起的凸座，並以平行該第
一接頭的插接向設置」，由證據2之圖式及新式樣創作說明揭
示一種印刷電路板用之連結器，該配置體為在該連結器上設有
一隆起的凸座，並以平行該第一接頭的插接向設置，顯見系爭
專利之「凸座」已揭露於證據2技術內容，故證據2已揭露系
爭專利「該配置體為在該公座體上設有一隆起的凸座，並以平
行該第一接頭的插接向設置」之技術特徵。
2.系爭專利請求項3為請求項2之附屬項，其附屬之技術特徵為
「該配置體之凸座設有一長槽，該第一定位件為一設於該長槽
內可前後位移之螺桿，該螺桿一端為施力端，另一端為具有外
螺紋鎖組段，而該第二定位件為一對接座，該對接座並以平行
該第二接頭的插接向並對應於螺桿的具有外螺紋鎖組段，設有
一具有內螺紋之鎖孔」，因證據2之圖式及新式樣創作說明揭
示一種印刷電路板用之連結器，該配置體之凸座設有一長槽，
該第一定位件為一設於該長槽內可前後位移之螺桿，該螺桿一
端為施力端，另一端為具有外螺紋鎖組段，顯見系爭專利之「

14長槽」及「螺桿」已揭露於證據2技術內容；證據2雖未揭示
相當於系爭專利「母座體」之技術內容，惟所屬技術領域中具
有通常知識者由證據2揭示之連結器，可得知必然存在有一相
對應之母座體，而該母座體之對接座必設有對應該螺桿之具內
螺紋之鎖孔，亦可得知藉由螺桿上凸出的外螺紋與鎖孔內凹的
內螺紋之相互契合定位；故系爭專利「該母座體配合該第一定
位件對應地設有與該第一定位件可作契合定位的第二定位件，
藉由該第一定位件與該第二定位件彼此契合定位，提供電連接
器接頭確實接合以穩定傳輸高速高頻寬數位訊號者」之技術特
徵為所屬技術領域中具有通常知識者依證據2所揭示之技術內
容可輕易完成者。
3.系爭專利請求項4為請求項3之附屬項，其附屬之技術特徵為
「該母座體是在一殼體內部設有該第二接頭，在其一對接端的
殼體頂緣向上凸設有一架板，而該對接座則由該架板向著插接
方向凸設」，因所屬技術領域中具有通常知識者由證據2揭
示之連結器，可得知必然存在有一相對應之母座體，在此基礎
上，配合證據2連結器之結構而相對設有上凸之架板連接該對
接座，其亦為所屬技術領域中具有通常知識者所能輕易完成者
；故系爭專利「該母座體是在一殼體內部設有該第二接頭，在
其一對接端的殼體頂緣向上凸設有一架板，而該對接座則由該
架板向著插接方向凸設」之技術特徵為所屬技術領域中具有通
常知識者依證據2所揭示之技術內容可輕易完成者。故系爭專
利請求項4整體技術特徵已為所屬技術領域中具有通常知識者
依證據2之技術內容顯能輕易完成，而不具進步性。
4.綜上。證據2既能單獨證明系爭專利請求項2至4不具進步性
，則證據2與證據3至7相互間之不同組合，自亦可證明系爭
專利請求項2至4不具進步性，爰不再一一論述，併此敘明。

15(五)系爭專利請求項5、6是否具進步性？
1.經查證據3為1968年4月30日公告之美國第3381258號專利
，係一種使用於牆壁插座中的電插頭，其具有一安裝凸部可避
免電插頭不慎的從插座中被拔除，且其接地接腳與安裝凸部電
性連接，用以使安裝凸部固定於牆壁插座時可建立安全的接地
連接；證據4為1978年9月5日公告之美國第4111516號專
利，係一種以交流電源並用於監測其接地和極性完整性的裝置
，其輔助L形接觸構件從接地孔延伸並終止於從殼體突出的
突出部，突出部包括適於可滑動地接收螺釘的縱向狹槽；證據
5為82年5月21日公告之臺灣第206687號「電腦連接裝置
之改良構造」專利，揭露一種電腦連接裝置之改良構造，其係
包括有一轉接本體，於轉接本體一端設有一公連接接頭，另一
端係設有一母連接接頭，使整體成為一體，而該公母兩連接接
頭係可為15針與9針兩種針規格相互配置設置；藉由上述構
造設計所組成之電腦連接裝置之改良構造，能便利地適用於連
接不同規格接頭，做為接頭與接頭之中介連結者。上開專利之
公告日均早於系爭專利之申請日，且均係電連接器之技術領域
，故均可作為判斷系爭專利是否具備專利要件之先前技術。
證據3之主要圖式：證據4之主要圖式：










證據5之主要圖式：

16







2.系爭專利請求項5為請求項2之附屬項，其附屬之技術特徵為
「該第一定位件為是一設於該配置體的一固定件，一端固定於
該配置體，並向著插接向凸出形成為一卡柱，而該第二定位件
是以平行該第二接頭的插接向並對應於該卡柱，在內設有一相
對應的凹卡孔」；又系爭專利請求項6亦為請求項2之附屬項
，其附屬之技術特徵為「該第一定位件，可為一是在該配置體
內設有的一凹卡孔，而該第二定位件是向著插接向凸出有一卡
柱」，由證據2之圖式及新式樣創作說明揭示一種印刷電路板
用之連結器，可得知證據2僅為一種以螺桿作為第一定位件之
連結器，其並未揭露、亦無教示以卡柱或凹卡孔作為定位件之
相關技術內容，故證據2未揭露系爭專利請求項5、6之技術
特徵，且該技術特徵並非為所屬技術領域中具有通常知識者依
證據2所揭示之技術內容而能輕易完成者。故系爭專利請求項
5、6非為所屬技術領域中具有通常知識者依證據2而能輕易
完成，故證據2不足以證明系爭專利請求項5、6不具進步性
。又證據3及證據4皆揭示具有鎖固裝置之電插座，證據5則
揭示一種電腦連接裝置，其亦使用螺絲作為公母接頭之鎖固定
位手段，惟證據3至5均未揭示、亦未教示請求項5、6之卡
柱與凹卡孔結構，故證據3至5並未揭露系爭專利請求項5、

176之技術特徵，且該技術特徵並非為所屬技術領域中具有通常
知識者依證據2、3之組合、證據2、4之組合、證據2、3、5
之組合或證據2、4、5之組合而能輕易完成者。故系爭專利請
求項5、6非為所屬技術領域中具有通常知識者依證據2至5
之組合而能輕易完成，故證據2、3之組合、證據2、4之組合
、證據2、3、5之組合或證據2、4、5之組合均不足以證明系
爭專利請求項5、6不具進步性。
系爭專利請求項5、6之主要圖式如下：
對應請求項5之圖式：對應請求項6之圖式：










(六)系爭專利請求項7、8、9是否具進步性？
1.系爭專利請求項7為請求項1之附屬項，其附屬之技術特徵為
「該公座體的第一定位件，為一是在該公座體之第一接頭上凸
出設有的一可上下壓扣之彈片，該彈片之前端固定於該第一接
頭上，該彈片向上設有一抵頂部，並向下設有一抵止於該第一
接頭上之支點部，該支點部撐住該第一接頭的殼體上使該彈片
產生上下運動的彈性，該彈片遠離該前端之一後端部位設有至
少一供施力摩擦用之凸肋，而該母座體的第二定位件是在該第
二接頭的殼體內設有一相對應的凹孔，當該彈片隨著該第一接
頭進入該第二接頭內往前位移，該彈片之前端產生形變，而使

18該抵頂部卡入該凹孔內，便可產生輔助定位的功能，釋離時，
只要下壓該彈片，該支點被下壓而下移，該抵頂部即脫離與該
凹孔的卡制」，由證據2之圖式及新式樣創作說明揭示一種
